Date,open,high,low,close,volume,lag_1,lag_2,lag_3,lag_4,lag_5,lag_10,lag_21,lag_42,lag_63,return_1d,return_2d,return_3d,return_4d,return_5d,return_10d,return_21d,return_42d,return_63d,rsi,bb_high,bb_low,atr,macd,sma_10,sma_20,sma_50,ema_10,ema_20,ema_50,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,target_close,target_return_1d,target_class
2012-07-31,29.479999542236328,29.709999084472656,29.329999923706055,23.733036041259766,37620.9,23.86994171142578,23.96657943725586,23.483383178710938,23.217632293701172,23.47533416748047,23.88605308532715,24.63499641418457,23.50754165649414,25.61052131652832,-0.005735484058617679,-0.00974454433965044,0.010631043263610973,0.022198807399427256,0.010977559336994736,-0.006406125094035708,-0.03661296952352977,0.009592427318036112,-0.07330913932067751,47.519984893398906,24.19825439123184,23.10997467370957,6.0472038885993085,-0.10710838854606664,24.10429178873698,23.931951332092286,23.886530075073242,23.942964186218717,23.942964186218717,24.043081528637895,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23.68471336364746,-0.002036093381744153,0
2012-08-01,29.59000015258789,29.649999618530273,29.209999084472656,23.68471336364746,31721.8,23.733036041259766,23.86994171142578,23.96657943725586,23.483383178710938,23.217632293701172,24.522260665893555,24.6108455657959,22.911596298217773,25.4424991607666,-0.002036093381744153,-0.007759899459228947,-0.011760796919156546,0.008573304085036648,0.02011751517285454,-0.034154571377303156,-0.037631059837926695,0.03374348322861409,-0.06908856657563422,46.93643617025124,24.078464976655066,23.416596516264857,6.03790100921868,-0.10940170823509732,24.069662539164224,23.877591800689697,23.881053848266603,23.926302842827024,23.926302842827024,24.02902787510886,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23.50754165649414,-0.007480424374704642,0
2012-08-02,29.209999084472656,29.530000686645508,28.969999313354492,23.50754165649414,39520.5,23.68471336364746,23.733036041259766,23.86994171142578,23.96657943725586,23.483383178710938,24.699426651000977,24.77190399169922,22.992130279541016,25.410505294799805,-0.007480424374704642,-0.009501286913886742,-0.015182276492873514,-0.019153245541921105,0.0010287477574826287,-0.04825557335188313,-0.0510401758229303,0.022416860494729907,-0.07488885467756123,44.76585622069888,24.068085016741815,23.436639867291387,6.024142888774349,-0.12408508111782268,24.02295347849528,23.8167893409729,23.871873092651366,23.89928599209587,23.89928599209587,24.008577435163183,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,23.958524703979492,0.019184611222873738,0
2012-08-03,29.530000686645508,29.940000534057617,29.479999542236328,23.958524703979492,35859.4,23.50754165649414,23.68471336364746,23.733036041259766,23.86994171142578,23.96657943725586,24.256498336791992,24.723590850830078,22.95991325378418,24.78643798828125,0.019184611222873738,0.011560677814758336,0.009501045813427034,0.003711068658006411,-0.0003360818884252659,-0.012284280635863176,-0.03094478271650003,0.043493694386268045,-0.03340186616137364,50.980104332039645,24.06213795839508,23.439365032327576,6.053308316545,-0.09819921755282834,24.01248404184977,23.799072074890137,23.882181282043458,23.903107844475457,23.903107844475457,24.0066145829599,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,24.11959457397461,0.0067228626130040325,0
2012-08-06,30.0,30.110000610351562,29.809999465942383,24.11959457397461,27471.8,23.958524703979492,23.50754165649414,23.68471336364746,23.733036041259766,23.86994171142578,23.580013275146484,24.312870025634766,23.63639259338379,24.522411346435547,0.0067228626130040325,0.026036449341413137,0.018361261276424345,0.016287782652114613,0.010458880275745486,0.02288299385296977,-0.007949511985066882,0.020443135672322477,-0.01642647481808468,53.01336958387714,24.230170610563913,23.371193525178274,6.060320287246934,-0.0639503123948586,23.992350832621256,23.79705877304077,23.89635509490967,23.917074730249595,23.917074730249595,24.01104517084283,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24.369239807128906,0.010350308019839938,0
2012-08-07,30.06999969482422,30.350000381469727,29.8700008392334,24.369239807128906,28002.9,24.11959457397461,23.958524703979492,23.50754165649414,23.68471336364746,23.733036041259766,23.47533416748047,24.159860610961914,23.539752960205078,24.402400970458984,0.010350308019839938,0.017142754331663568,0.03665624263167966,0.028901614006108023,0.026806674239364225,0.03807850543344915,0.008666407457334158,0.035237703994859704,-0.001358930351575749,56.05577521817599,24.540005418081044,23.315840224008802,6.072469252978947,-0.016473626650295614,24.00281988779704,23.81799726486206,23.915682945251465,23.946246670693423,23.946246670693423,24.02509201932464,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24.425615310668945,0.0023133878605252622,0
2012-08-08,30.209999084472656,30.469999313354492,30.110000610351562,24.425615310668945,26257.6,24.369239807128906,24.11959457397461,23.958524703979492,23.50754165649414,23.68471336364746,23.217632293701172,23.950469970703125,23.877992630004883,24.610422134399414,0.0023133878605252622,0.012687640157290847,0.019495800031955612,0.03905443059892133,0.0312818625096245,0.052028691026151375,0.01983866456679273,0.02293420092507792,-0.007509291093067194,56.73703219548991,24.73765666530142,23.41454975559702,6.074489985353707,0.025408131712886473,24.011141459147137,23.859471702575682,23.928084983825684,23.977173679724103,23.977173679724103,24.04079881506363,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24.56252098083496,0.005605003944617826,0
2012-08-09,30.389999389648438,30.649999618530273,30.299999237060547,24.56252098083496,24920.8,24.425615310668945,24.369239807128906,24.11959457397461,23.958524703979492,23.50754165649414,23.483383178710938,23.596126556396484,23.273996353149414,24.594423294067383,0.005605003944617826,0.007931358353226559,0.01836375837503823,0.025210078012656068,0.04487833478110104,0.04595325102484904,0.040955638296341634,0.055363273592297535,-0.001297136056047199,58.42273406320134,24.723273305448334,23.85092484518643,6.08519672267568,0.06885317384300649,24.019999949137368,23.934769725799562,23.946768646240233,24.014938021731254,24.014938021731254,24.06125850783898,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,24.498096466064453,-0.0026228787680537824,0
2012-08-10,30.5,30.6200008392334,30.25,24.498096466064453,27810.3,24.56252098083496,24.425615310668945,24.369239807128906,24.11959457397461,23.958524703979492,23.96657943725586,23.056560516357422,23.58807373046875,24.930456161499023,-0.0026228787680537824,0.00296742393072269,0.005287676593746404,0.015692713695040883,0.02252107626624178,0.02217742545197554,0.06252172559234648,0.03857978171486831,-0.017342630741842502,57.291457641185254,24.699829690951237,24.090197164517516,6.0832169466558765,0.09696738317872544,24.03369051615397,23.976244163513183,23.96657974243164,24.04610953426888,24.04610953426888,24.078389408161545,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,24.47393035888672,-0.0009864483639049348,0
2012-08-13,30.350000381469727,30.459999084472656,30.15999984741211,24.47393035888672,23049.1,24.498096466064453,24.56252098083496,24.425615310668945,24.369239807128906,24.11959457397461,23.86994171142578,23.668607711791992,23.459226608276367,24.546417236328125,-0.0009864483639049348,-0.0036067397974892668,0.001978048356336304,0.004296012209916711,0.014690785279386276,0.025303314719525627,0.034024926894770546,0.043253930214918856,-0.00295305326001416,56.84679253739456,24.596732440567006,24.335028728866586,6.074551637495328,0.11596136333151819,24.02832164764404,24.01449680328369,23.99782642364502,24.07371087779261,24.07371087779261,24.093900817993905,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24.425296783447266,-0.001987158365096553,0
2012-08-14,30.299999237060547,30.389999389648438,30.010000228881836,24.425296783447266,34551.4,24.47393035888672,24.498096466064453,24.56252098083496,24.425615310668945,24.369239807128906,23.733036041259766,23.708877563476562,23.628337860107422,24.3289737701416,-0.001987158365096553,-0.0029716464998834624,-0.005586730999426526,-1.3040704098021827e-05,0.00230031698822053,0.029168655075735295,0.030217340236905255,0.03372894564392448,0.003959189327742196,55.906379311173936,24.57939305852149,24.374790901439447,6.06323145130007,0.12564158833546912,24.022136688232422,24.041458988189696,24.026489753723144,24.09639383944775,24.09639383944775,24.106896738207762,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24.4820499420166,0.0023235401834624803,0
2012-08-15,30.110000610351562,30.280000686645508,30.020000457763672,24.4820499420166,24351.0,24.425296783447266,24.47393035888672,24.498096466064453,24.56252098083496,24.425615310668945,23.68471336364746,23.88605308532715,24.175968170166016,24.079322814941406,0.0023235401834624803,0.0003317645760536614,-0.0006550110564744749,-0.0032761718099354464,0.0023104691787643183,0.03366460746757172,0.02495166759281653,0.012660579700311647,0.016725018812626224,56.80440902001699,24.577011400152667,24.39974641234733,6.048336626435654,0.1363213147248885,24.012474886576335,24.03944845199585,24.056932487487792,24.12127487832316,24.12127487832316,24.121608628553208,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24.95223045349121,0.019205112014238468,0
2012-08-16,30.360000610351562,30.940000534057617,30.260000228881836,24.95223045349121,35787.2,24.4820499420166,24.425296783447266,24.47393035888672,24.498096466064453,24.56252098083496,23.50754165649414,24.522260665893555,24.031005859375,23.934364318847656,0.019205112014238468,0.021573276047193835,0.019543248166137506,0.01853752139705378,0.015866020957715277,0.061456396339000685,0.01753385601172064,0.038334832903252014,0.042527393712396,63.44647877429242,24.95527443787243,24.177367163690068,6.077594766836037,0.18064237973765174,24.020096206665038,24.05208864212036,24.08324924468994,24.174884915430777,24.174884915430777,24.154182033452738,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25.049510955810547,0.0038986695999245757,0
2012-08-17,30.920000076293945,30.920000076293945,30.59000015258789,25.049510955810547,32589.9,24.95223045349121,24.4820499420166,24.425296783447266,24.47393035888672,24.498096466064453,23.958524703979492,24.699426651000977,24.723590850830078,23.571971893310547,0.0038986695999245757,0.023178656000536035,0.02555605272261441,0.023518110433571104,0.02250846266810691,0.04553645373873305,0.014173782645087618,0.013182555355607972,0.0626820305567779,64.6573797256422,25.211103646664885,24.14210375079605,6.069750113690801,0.22106852624619933,24.044650904337566,24.09173927307129,24.11344440460205,24.23131240190689,24.23131240190689,24.18929297158442,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,24.919803619384766,-0.0051780386712776405,0
2012-08-20,30.81999969482422,30.850000381469727,30.579999923706055,24.919803619384766,23737.7,25.049510955810547,24.95223045349121,24.4820499420166,24.425296783447266,24.47393035888672,24.11959457397461,24.256498336791992,24.9088134765625,23.958524703979492,-0.0051780386712776405,-0.001299556533308155,0.017880597352139205,0.020245683822053717,0.018218294076993047,0.03317672040282105,0.027345467321088,0.00044121502746841124,0.04012262554904322,61.72149333130046,25.283791376739238,24.24776532492092,6.0505172074028275,0.23987510962210834,24.06998233795166,24.158728790283202,24.13428062438965,24.27573119013127,24.27573119013127,24.217940447968747,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24.96843910217285,0.00195168001846735,0
2012-08-21,30.760000228881836,30.959999084472656,30.610000610351562,24.96843910217285,28822.7,24.919803619384766,25.049510955810547,24.95223045349121,24.4820499420166,24.425296783447266,24.369239807128906,23.580013275146484,24.272607803344727,23.96657943725586,0.00195168001846735,-0.00323646452741988,0.0006495871666403197,0.019867174575177282,0.02223687693709686,0.02458834579110092,0.0588814692691364,0.02866734816735428,0.04180236347618349,62.410714472161644,25.275968601097624,24.472845028052767,6.049779940094617,0.25575574639690757,24.103914642333983,24.23338403701782,24.168169479370118,24.320422023166213,24.320422023166213,24.247371767741456,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24.75766944885254,-0.008441442913504793,0
2012-08-22,30.59000015258789,30.760000228881836,30.469999313354492,24.75766944885254,33437.4,24.96843910217285,24.919803619384766,25.049510955810547,24.95223045349121,24.4820499420166,24.425615310668945,23.47533416748047,24.723590850830078,23.443115234375,-0.008441442913504793,-0.006506237890498645,-0.011650587010374802,-0.007797339199848929,0.011258024041643333,0.013594504537969732,0.05462479350553573,0.0013783838370435841,0.05607421203774088,57.57277634340529,25.12147927174901,24.73758216013576,6.0313357391385,0.24846971173739618,24.142632738749185,24.31038589477539,24.191561393737793,24.348631534500814,24.348631534500814,24.267383441510518,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24.53067970275879,-0.009168461779598958,0
2012-08-23,30.389999389648438,30.399999618530273,30.079999923706055,24.53067970275879,28355.6,24.75766944885254,24.96843910217285,24.919803619384766,25.049510955810547,24.95223045349121,24.56252098083496,23.217632293701172,24.05516815185547,23.410903930664062,-0.009168461779598958,-0.01753250964638664,-0.015615047476669641,-0.020712230828259237,-0.01689431137301156,-0.001296335913606561,0.05655388940817363,0.0197675421722896,0.0478313770118044,52.82366324311932,25.21300436711378,24.477436764478018,6.00354962703416,0.22182227222474893,24.191770044962563,24.362750720977782,24.21299045562744,24.360376577614232,24.360376577614232,24.27770878508888,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,24.77388572692871,0.009914361408525085,0
